rank,candidate_id,v2_score,v1_score,fake_risk,current_title,profile_years,company,location,manual_override_note,risk_reasons,evidence_hits,feature_v1_score,feature_fit_score,feature_fake_risk,feature_title,feature_years,feature_retrieval,feature_ranking,feature_evaluation,feature_production,feature_relevance_system,feature_shipper,feature_llm,feature_skills,feature_company,feature_location,feature_behavior,feature_education,feature_raw_years_ideal,feature_raw_years_senior_band,feature_response_rate,feature_notice_fast,feature_open_to_work,feature_india_or_relocate,feature_target_city,feature_verified_strength,feature_github_strength,feature_top_rank_signal,feature_career_depth_signal,feature_availability_signal,feature_risk_safe
1,CAND_0030468,9.402256594,1.022343519,0.000,Senior Applied Scientist,5.4,Swiggy,"Indore, Madhya Pradesh",,,connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | search & discovery | offline metrics | online numbers | offline experimentation,9.402257,0.922344,0.000000,0.950000,1.000000,0.412500,0.675000,0.500000,1.000000,1.000000,1.000000,0.000000,0.662354,0.980000,0.780000,0.797042,1.000000,0.680000,1.000000,0.780000,0.714286,1.000000,1.000000,0.000000,1.000000,0.450000,0.870000,0.788125,0.820960,1.000000
12,CAND_0002025,8.728212627,0.977004296,0.000,Senior AI Engineer,5.9,Apple,"Trivandrum, Kerala",,,offline experimentation | intelligence layer end-to-end | hybrid retrieval | dense vector | retrieval | embedding | embeddings | sentence transformers,8.728213,0.919004,0.000000,1.000000,1.000000,1.000000,1.000000,0.412500,1.000000,0.412500,0.787500,1.000000,1.000000,0.980000,0.730000,0.880699,1.000000,0.780000,1.000000,0.800000,0.857143,1.000000,1.000000,0.000000,1.000000,0.969000,0.794375,0.802500,0.880851,1.000000
13,CAND_0018499,8.654350767,1.001196670,0.000,Senior Machine Learning Engineer,7.2,Zomato,"Noida, Uttar Pradesh",,,intelligence layer end-to-end | hybrid retrieval | dense vector | dense retrieval | information retrieval | retrieval | embedding | embeddings,8.654351,0.906197,0.000000,0.970000,1.000000,1.000000,1.000000,1.000000,1.000000,0.162500,0.650000,1.000000,1.000000,0.980000,1.000000,0.842660,1.000000,0.960000,1.000000,0.610000,1.000000,1.000000,1.000000,1.000000,1.000000,0.948000,0.781625,0.713750,0.839564,1.000000
14,CAND_0081846,8.614491702,1.015862065,0.000,Lead AI Engineer,6.7,Razorpay,"Jaipur, Rajasthan",,,matching pipeline | intelligence layer end-to-end | hybrid retrieval | semantic search | vector search | dense vector | dense retrieval | information retrieval,8.614492,0.920862,0.000000,0.990000,1.000000,1.000000,1.000000,1.000000,1.000000,0.325000,0.650000,1.000000,1.000000,0.980000,0.780000,0.805609,1.000000,0.940000,1.000000,0.730000,0.857143,1.000000,1.000000,0.000000,1.000000,0.337000,0.828250,0.762500,0.833315,1.000000
15,CAND_0061257,8.550267278,1.005182920,0.000,Staff Machine Learning Engineer,8.0,LinkedIn,"Noida, Uttar Pradesh",,,connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | surface the right thing | right thing at the right time | millions of items | millions of users,8.550267,0.890183,0.000000,0.980000,1.000000,0.287500,0.300000,0.500000,1.000000,1.000000,1.000000,0.062500,0.167790,0.980000,1.000000,0.801380,1.000000,0.800000,1.000000,0.870000,0.857143,1.000000,1.000000,1.000000,1.000000,0.453000,0.804000,0.681875,0.866623,1.000000
16,CAND_0046525,8.525318554,0.995908075,0.000,Senior Machine Learning Engineer,6.1,Genpact AI,"Pune, Maharashtra",,,intelligence layer end-to-end | hybrid retrieval | dense vector | dense retrieval | information retrieval | retrieval | embedding | embeddings,8.525319,0.900908,0.000000,0.970000,1.000000,1.000000,1.000000,1.000000,1.000000,0.162500,0.650000,0.837500,1.000000,0.980000,1.000000,0.803447,1.000000,0.820000,1.000000,0.880000,0.571429,1.000000,1.000000,1.000000,1.000000,0.367000,0.781625,0.713750,0.827093,1.000000
17,CAND_0030031,8.453777809,0.955985274,0.000,AI Engineer,5.7,Microsoft,"Trivandrum, Kerala",,,offline metrics | drift detection | vector search | information retrieval | retrieval | embedding | embeddings | sentence transformers,8.453778,0.893985,0.000000,0.890000,1.000000,0.875000,1.000000,0.662500,1.000000,0.500000,0.787500,0.650000,1.000000,0.980000,0.680000,0.719460,1.000000,0.740000,1.000000,0.940000,0.857143,0.000000,1.000000,0.000000,1.000000,0.324000,0.808250,0.797500,0.651355,1.000000
18,CAND_0008425,8.449409538,1.025628852,0.000,Senior NLP Engineer,7.8,Ola,"Kolkata, West Bengal",,,matching pipeline | offline metrics | intelligence layer end-to-end | hybrid retrieval | semantic search | dense vector | information retrieval | retrieval,8.449410,0.930629,0.000000,0.940000,1.000000,1.000000,1.000000,0.712500,1.000000,0.625000,0.650000,1.000000,1.000000,0.980000,0.680000,0.697311,1.000000,0.840000,1.000000,0.660000,0.285714,1.000000,1.000000,0.000000,1.000000,0.533000,0.859500,0.852500,0.686782,1.000000
19,CAND_0005649,8.363829621,1.019983769,0.000,Senior Data Scientist,7.4,Sarvam AI,"Delhi, Delhi",,,offline metrics | drift detection | semantic search | information retrieval | retrieval | embedding | embeddings | sentence-transformers,8.363830,0.924984,0.000000,0.870000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.737500,0.975000,1.000000,0.980000,0.980000,0.655081,0.820000,0.920000,1.000000,0.570000,0.285714,1.000000,1.000000,1.000000,0.666667,0.807000,0.836000,0.823750,0.647390,1.000000
20,CAND_0005538,8.315441973,0.958173121,0.000,Senior AI Engineer,5.9,Adobe,"Kolkata, West Bengal",,,connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | matching layer | hand-tuned heuristic | explicit modeling and evaluation | offline metrics,8.315442,0.940173,0.000000,1.000000,1.000000,0.850000,0.550000,0.250000,1.000000,1.000000,1.000000,0.612500,0.485826,0.980000,0.730000,0.781651,0.880000,0.780000,1.000000,0.810000,0.285714,1.000000,1.000000,0.000000,1.000000,0.580000,0.835000,0.872500,0.758018,1.000000
21,CAND_0088025,8.206238517,0.954531986,0.000,Staff Machine Learning Engineer,8.6,Yellow.ai,"Jaipur, Rajasthan",,,offline metrics | intelligence layer end-to-end | hybrid retrieval | dense vector | retrieval | embedding | bm25 | pinecone,8.206239,0.896532,0.000000,0.980000,1.000000,1.000000,1.000000,0.412500,1.000000,0.412500,0.650000,0.900000,1.000000,0.980000,0.730000,0.778217,0.940000,0.680000,1.000000,0.830000,0.285714,1.000000,1.000000,0.000000,1.000000,0.746000,0.788375,0.788750,0.761644,1.000000
22,CAND_0096142,8.184438871,0.840783609,0.000,Applied ML Engineer,5.0,upGrad,"Hyderabad, Telangana",,,offline metrics | retrieval | embedding | embeddings | bm25 | weaviate | pinecone | ranking,8.184439,0.818784,0.000000,0.900000,1.000000,0.850000,1.000000,0.550000,1.000000,0.250000,0.737500,0.487500,0.954817,0.480000,0.890000,0.751010,1.000000,0.600000,1.000000,0.840000,0.000000,1.000000,1.000000,1.000000,0.666667,0.805000,0.737500,0.711250,0.710404,1.000000
23,CAND_0060054,8.171668443,0.942274663,0.000,AI Engineer,6.4,Mad Street Den,"Jaipur, Rajasthan",,,offline metrics | semantic search | retrieval | embedding | embeddings | sentence-transformers | bm25 | faiss,8.171668,0.865275,0.000000,0.890000,1.000000,1.000000,1.000000,1.000000,1.000000,0.250000,0.737500,0.312500,0.902141,0.980000,0.830000,0.579697,0.940000,0.880000,1.000000,0.860000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.779500,0.748750,0.596879,1.000000
24,CAND_0079387,8.169981991,0.938572941,0.000,AI Engineer,6.9,Microsoft,"Trivandrum, Kerala",,,drift detection | semantic search | vector search | retrieval | embedding | embeddings | sentence-transformers | sentence transformers,8.169982,0.861573,0.000000,0.890000,1.000000,1.000000,0.837500,1.000000,1.000000,0.250000,0.487500,0.675000,1.000000,0.980000,0.730000,0.823049,1.000000,0.980000,1.000000,0.810000,0.857143,1.000000,1.000000,0.000000,1.000000,0.641000,0.747000,0.691250,0.860291,1.000000
25,CAND_0066999,8.111511474,0.828044521,0.000,Recommendation Systems Engineer,5.9,Microsoft,"Delhi, Delhi",,,drift detection | information retrieval | retrieval | embedding | embeddings | bm25 | faiss | pinecone,8.111511,0.828045,0.000000,0.930000,1.000000,0.500000,1.000000,0.412500,0.962500,0.250000,0.650000,0.287500,1.000000,0.980000,0.980000,0.782841,1.000000,0.780000,1.000000,0.630000,1.000000,1.000000,1.000000,1.000000,1.000000,0.944000,0.727125,0.609375,0.820636,1.000000
26,CAND_0086022,8.105413059,0.944589025,0.000,Senior Applied Scientist,5.3,Sarvam AI,"Kolkata, West Bengal",,,offline metrics | intelligence layer end-to-end | hybrid retrieval | vector search | dense retrieval | retrieval | embedding | embeddings,8.105413,0.904589,0.000000,0.950000,1.000000,1.000000,1.000000,1.000000,1.000000,0.325000,0.650000,1.000000,1.000000,0.980000,0.830000,0.639100,1.000000,0.660000,1.000000,0.550000,0.000000,1.000000,1.000000,0.000000,1.000000,0.752000,0.816250,0.762500,0.593140,1.000000
27,CAND_0007412,8.095294838,0.895072793,0.000,Applied ML Engineer,7.4,Zoho,"Noida, Uttar Pradesh",,,offline metrics | embedding | embeddings | bm25 | milvus | pinecone | learning-to-rank | ranking,8.095295,0.858073,0.000000,0.900000,1.000000,0.925000,1.000000,1.000000,0.737500,0.250000,0.737500,0.300000,0.936248,0.980000,1.000000,0.685094,1.000000,0.920000,1.000000,0.760000,0.000000,1.000000,1.000000,1.000000,1.000000,0.360000,0.743125,0.690625,0.664038,1.000000
28,CAND_0068351,8.085274032,0.986029799,0.000,Lead AI Engineer,6.4,Sarvam AI,"Delhi, Delhi",,,connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | surface the right thing | right thing at the right time | millions of items | millions of users,8.085274,0.911030,0.000000,0.990000,1.000000,0.475000,0.300000,0.500000,0.962500,1.000000,1.000000,0.125000,0.934215,0.980000,0.880000,0.551792,1.000000,0.880000,1.000000,0.860000,0.000000,0.000000,1.000000,1.000000,0.666667,0.000000,0.801375,0.723125,0.435717,1.000000
29,CAND_0010685,8.066910567,0.956216496,0.000,NLP Engineer,6.7,Rephrase.ai,"Kolkata, West Bengal",,,offline metrics | drift detection | semantic search | information retrieval | retrieval | sentence-transformers | bm25 | faiss,8.066911,0.879216,0.000000,0.840000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.737500,0.425000,0.711062,0.980000,0.680000,0.689131,0.640000,0.940000,1.000000,0.830000,0.857143,1.000000,1.000000,0.000000,0.666667,0.000000,0.827000,0.823750,0.811724,1.000000
30,CAND_0017960,8.009112086,0.939966243,0.000,Recommendation Systems Engineer,7.7,Nykaa,"Bangalore, Karnataka",,,offline metrics | semantic search | information retrieval | retrieval | embedding | embeddings | sentence-transformers | faiss,8.009112,0.862966,0.000000,0.930000,1.000000,1.000000,1.000000,0.800000,0.737500,0.250000,0.737500,0.725000,0.743229,0.980000,0.990000,0.748694,1.000000,0.860000,1.000000,0.720000,0.571429,1.000000,1.000000,1.000000,0.666667,0.924000,0.732125,0.709375,0.765192,1.000000
31,CAND_0027691,7.973378968,0.927306297,0.000,NLP Engineer,6.5,Haptik,"Pune, Maharashtra",,,drift detection | semantic search | retrieval | embedding | embeddings | sentence-transformers | bm25 | faiss,7.973379,0.850306,0.000000,0.840000,1.000000,1.000000,1.000000,0.662500,1.000000,0.250000,0.487500,0.437500,1.000000,0.980000,1.000000,0.757114,0.940000,0.900000,1.000000,0.680000,1.000000,1.000000,1.000000,1.000000,1.000000,0.585000,0.730750,0.723750,0.822846,1.000000
32,CAND_0041669,7.959148254,0.928838091,0.000,Recommendation Systems Engineer,8.0,CRED,"Noida, Uttar Pradesh",,,semantic search | information retrieval | retrieval | embedding | embeddings | faiss | milvus | qdrant,7.959148,0.859376,0.000000,0.930000,1.000000,1.000000,1.000000,0.912500,1.000000,0.000000,0.650000,0.800000,1.000000,0.980000,1.000000,0.750428,1.000000,0.800000,1.000000,0.770000,0.571429,1.000000,1.000000,1.000000,0.666667,0.709000,0.720250,0.665000,0.778385,1.000000
33,CAND_0078002,7.947489527,0.886388806,0.000,Machine Learning Engineer,6.3,Meta,"Coimbatore, Tamil Nadu",,,offline metrics | retrieval | embedding | embeddings | weaviate | pgvector | ranking | recommendation system,7.947490,0.849389,0.000000,0.900000,1.000000,0.787500,1.000000,0.712500,1.000000,0.250000,0.787500,0.650000,0.780938,0.980000,0.730000,0.745604,1.000000,0.860000,1.000000,0.860000,0.571429,1.000000,1.000000,0.000000,1.000000,0.506000,0.753750,0.700625,0.798956,1.000000
34,CAND_0098846,7.945174367,0.919855697,0.000,AI Engineer,7.6,upGrad,"Indore, Madhya Pradesh",,,drift detection | retrieval | embedding | embeddings | qdrant | pinecone | learning-to-rank | ranking,7.945174,0.842856,0.000000,0.890000,1.000000,0.975000,1.000000,0.662500,0.900000,0.250000,0.487500,0.562500,0.928516,0.980000,0.830000,0.777999,1.000000,0.880000,1.000000,0.620000,0.714286,1.000000,1.000000,0.000000,1.000000,0.862000,0.730750,0.702500,0.773342,1.000000
35,CAND_0039383,7.934014768,0.896799625,0.000,Applied ML Engineer,7.1,Meesho,"Gurgaon, Haryana",,,offline metrics | semantic search | vector search | retrieval | sentence-transformers | bm25 | faiss | elasticsearch,7.934015,0.859800,0.000000,0.900000,1.000000,1.000000,0.950000,1.000000,0.662500,0.250000,0.737500,0.550000,1.000000,0.980000,1.000000,0.674463,1.000000,0.980000,1.000000,0.610000,0.285714,1.000000,1.000000,1.000000,0.666667,0.864000,0.721875,0.688125,0.665143,1.000000
36,CAND_0030953,7.915201117,0.954507607,0.000,Search Engineer,7.8,Nykaa,"Chennai, Tamil Nadu",,,offline metrics | semantic search | retrieval | embedding | embeddings | sentence-transformers | bm25 | faiss,7.915201,0.877508,0.000000,0.930000,1.000000,1.000000,1.000000,1.000000,1.000000,0.250000,0.737500,0.662500,0.937211,0.980000,0.730000,0.590914,1.000000,0.840000,1.000000,0.630000,0.714286,0.000000,1.000000,0.000000,0.666667,0.210000,0.791500,0.748750,0.501008,1.000000
37,CAND_0061265,7.907583106,0.893332422,0.000,Recommendation Systems Engineer,6.6,Zoho,"Delhi, Delhi",,,drift detection | semantic search | vector search | retrieval | embedding | embeddings | sentence-transformers | bm25,7.907583,0.856332,0.000000,0.930000,1.000000,1.000000,1.000000,0.500000,1.000000,0.250000,0.487500,0.550000,1.000000,0.980000,0.930000,0.692376,1.000000,0.920000,1.000000,0.940000,0.000000,1.000000,1.000000,1.000000,0.333333,0.798000,0.741500,0.723750,0.711950,1.000000
38,CAND_0091909,7.800034317,0.939601077,0.000,Machine Learning Engineer,6.9,Rephrase.ai,"Bangalore, Karnataka",,,offline metrics | retrieval | embedding | embeddings | sentence transformers | qdrant | pinecone | opensearch,7.800034,0.862601,0.000000,0.900000,1.000000,0.912500,1.000000,0.500000,1.000000,0.250000,0.737500,0.612500,1.000000,0.980000,0.990000,0.672557,1.000000,0.980000,1.000000,0.650000,0.714286,1.000000,1.000000,1.000000,0.666667,0.497000,0.732500,0.726875,0.738666,1.000000
39,CAND_0033861,7.238148226,0.951263753,0.000,Senior NLP Engineer,8.0,Mad Street Den,"Vizag, Andhra Pradesh",Top-40 audit promotion: stronger reviewed label and clearer ranking/retrieval evidence.,,offline experimentation | intelligence layer end-to-end | hybrid retrieval | semantic search | vector search | dense vector | retrieval | embedding,7.238148,0.891264,0.000000,0.940000,1.000000,1.000000,1.000000,0.825000,1.000000,0.412500,0.787500,1.000000,1.000000,0.980000,0.680000,0.382304,1.000000,0.800000,1.000000,0.160000,0.857143,0.000000,1.000000,0.000000,1.000000,0.326000,0.817625,0.802500,0.321493,1.000000
40,CAND_0028793,7.792678365,0.900859678,0.000,Search Engineer,7.2,Google,"Trivandrum, Kerala",Top-40 audit promotion: stronger reviewed label and clearer ranking/retrieval evidence.,,offline metrics | semantic search | information retrieval | retrieval | embedding | embeddings | sentence-transformers | bm25,7.792678,0.863860,0.000000,0.930000,1.000000,1.000000,0.887500,1.000000,0.712500,0.250000,0.787500,0.737500,1.000000,0.980000,0.830000,0.682349,1.000000,0.960000,1.000000,0.570000,0.000000,1.000000,1.000000,0.000000,1.000000,0.831000,0.725875,0.688125,0.615440,1.000000
41,CAND_0010257,8.422872730,0.949170810,0.000,Senior Data Scientist,6.5,Google,"Noida, Uttar Pradesh","Top-40 audit demotion: good candidate, but lower reviewed confidence than promoted profiles.",,offline metrics | drift detection | retrieval | embedding | embeddings | milvus | qdrant | opensearch,8.422873,0.894171,0.000000,0.870000,1.000000,0.962500,1.000000,0.500000,1.000000,0.500000,0.737500,0.250000,0.999965,0.980000,1.000000,0.714025,0.940000,0.900000,1.000000,0.720000,0.000000,1.000000,1.000000,1.000000,0.666667,0.455000,0.786000,0.814375,0.665610,1.000000
42,CAND_0044883,8.215090985,0.978754902,0.000,AI Engineer,6.3,Mad Street Den,Berlin,"Top-40 audit demotion: good candidate, but lower reviewed confidence than promoted profiles.",,offline metrics | drift detection | semantic search | retrieval | embedding | embeddings | sentence-transformers | bm25,8.215091,0.901755,0.000000,0.890000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.737500,0.875000,1.000000,0.980000,0.610000,0.642883,0.640000,0.860000,1.000000,0.840000,0.285714,0.000000,1.000000,0.000000,0.666667,0.705000,0.842000,0.823750,0.510010,1.000000
43,CAND_0053695,7.745856924,0.842241133,0.070,Recommendation Systems Engineer,5.8,Meesho,"Bhubaneswar, Odisha",,low profile completeness,offline metrics | semantic search | retrieval | embedding | embeddings | sentence-transformers | sentence transformers | bm25,7.745857,0.852441,0.070000,0.930000,1.000000,1.000000,1.000000,1.000000,0.662500,0.250000,0.737500,0.300000,0.994717,0.980000,0.730000,0.715645,1.000000,0.760000,1.000000,0.600000,1.000000,1.000000,1.000000,0.000000,1.000000,0.676000,0.740875,0.698125,0.786258,0.930000
44,CAND_0064326,7.736438350,0.846358295,0.070,Search Engineer,7.6,Sarvam AI,"Gurgaon, Haryana",,low profile completeness,offline metrics | semantic search | retrieval | embedding | embeddings | bm25 | milvus | weaviate,7.736438,0.857211,0.070000,0.930000,1.000000,1.000000,1.000000,1.000000,0.462500,0.250000,0.787500,0.425000,1.000000,0.980000,0.950000,0.833361,0.880000,0.880000,1.000000,0.940000,0.714286,1.000000,1.000000,1.000000,0.666667,0.614000,0.710875,0.673125,0.875487,0.930000
45,CAND_0000031,7.709422178,0.807304414,0.000,Recommendation Systems Engineer,6.0,Swiggy,"Hyderabad, Telangana",,,offline metrics | information retrieval | retrieval | embedding | embeddings | sentence transformers | faiss | pinecone,7.709422,0.816184,0.000000,0.930000,1.000000,0.762500,1.000000,0.750000,0.412500,0.250000,0.737500,0.125000,1.000000,0.980000,0.990000,0.778097,0.940000,0.800000,1.000000,0.910000,0.571429,1.000000,1.000000,1.000000,0.333333,0.326000,0.678375,0.601250,0.824453,1.000000
46,CAND_0014440,7.708208392,0.806393984,0.000,Recommendation Systems Engineer,6.4,CRED,"Chennai, Tamil Nadu",,,drift detection | retrieval | embedding | faiss | milvus | qdrant | elasticsearch | learning-to-rank,7.708208,0.795259,0.000000,0.930000,1.000000,0.575000,1.000000,0.412500,0.900000,0.250000,0.487500,0.187500,0.820164,0.980000,0.730000,0.784188,1.000000,0.880000,1.000000,0.640000,0.571429,1.000000,1.000000,0.000000,1.000000,0.895000,0.717750,0.602500,0.759390,1.000000
47,CAND_0005260,7.690047927,0.958346018,0.000,Senior NLP Engineer,5.2,Netflix,"Chennai, Tamil Nadu",,,intelligence layer end-to-end | hybrid retrieval | semantic search | vector search | dense retrieval | information retrieval | retrieval | embedding,7.690048,0.878346,0.000000,0.940000,1.000000,1.000000,1.000000,1.000000,1.000000,0.162500,0.650000,1.000000,1.000000,0.980000,0.830000,0.652650,1.000000,0.640000,1.000000,0.860000,0.571429,0.000000,1.000000,0.000000,1.000000,0.000000,0.772625,0.713750,0.561774,1.000000
48,CAND_0070398,7.633768915,0.882334342,0.070,Machine Learning Engineer,7.2,Genpact AI,"Kochi, Kerala",,low profile completeness,offline metrics | semantic search | information retrieval | retrieval | embedding | embeddings | sentence-transformers | bm25,7.633769,0.877534,0.070000,0.900000,1.000000,1.000000,1.000000,1.000000,0.987500,0.250000,0.737500,0.562500,1.000000,0.980000,0.830000,0.605355,1.000000,0.960000,1.000000,0.600000,0.000000,1.000000,1.000000,0.000000,1.000000,0.631000,0.780625,0.746875,0.592142,0.930000
49,CAND_0045250,7.582110126,0.902621429,0.000,Applied ML Engineer,6.6,Rephrase.ai,"Delhi, Delhi",,,offline metrics | drift detection | vector search | retrieval | embedding | embeddings | sentence transformers | bm25,7.582110,0.865621,0.000000,0.900000,1.000000,0.762500,0.875000,0.550000,1.000000,0.500000,0.737500,0.312500,1.000000,0.980000,0.930000,0.659939,0.580000,0.920000,1.000000,0.740000,1.000000,0.000000,1.000000,1.000000,0.666667,0.000000,0.775000,0.739375,0.598976,1.000000
50,CAND_0058688,7.537660089,0.856727863,0.000,AI Engineer,6.7,Vedantu,Berlin,,,drift detection | semantic search | information retrieval | retrieval | embedding | embeddings | milvus | ranking,7.537660,0.801728,0.000000,0.890000,1.000000,0.850000,1.000000,0.300000,1.000000,0.250000,0.487500,0.375000,0.996713,0.840000,0.610000,0.767282,1.000000,0.940000,1.000000,0.740000,1.000000,1.000000,1.000000,0.000000,1.000000,0.391000,0.709500,0.686250,0.841913,1.000000
